"id","name","rarity","emoji"
"avatar-sticker-001","Cloud Cub","common","☁️"
"avatar-sticker-002","Puddle Penguin","common","🐧"
"avatar-sticker-003","Sunny Sloth","common","🦥"
"avatar-sticker-004","Apple Ant","common","🐜"
"avatar-sticker-005","Pencil Parrot","common","🦜"
"avatar-sticker-006","Notebook Newt","common","🦎"
"avatar-sticker-007","Raindrop Rabbit","common","🐇"
"avatar-sticker-008","Bubble Beaver","common","🦫"
"avatar-sticker-009","Chalk Cat","common","🐱"
"avatar-sticker-010","Map Mouse","common","🐭"
"avatar-sticker-011","Leaf Llama","common","🦙"
"avatar-sticker-012","Kind Koala","common","🐨"
"avatar-sticker-013","Spark Sparrow","common","🐦"
"avatar-sticker-014","Quiz Quokka","common","🦘"
"avatar-sticker-015","Rocket Raccoon","rare","🚀"
"avatar-sticker-016","Coral Crab","rare","🦀"
"avatar-sticker-017","Aurora Alpaca","rare","🦙"
"avatar-sticker-018","Orbit Otter","rare","🦦"
"avatar-sticker-019","Comet Corgi","rare","☄️"
"avatar-sticker-020","Gadget Gecko","rare","🦎"
"avatar-sticker-021","Meteor Moth","rare","🦋"
"avatar-sticker-022","Treasure Toucan","rare","🦜"
"avatar-sticker-023","Neon Narwhal","rare","🦄"
"avatar-sticker-024","Frost Falcon","rare","🦅"
"avatar-sticker-025","Thunder Tiger","epic","🐯"
"avatar-sticker-026","Prism Panther","epic","🐆"
"avatar-sticker-027","Lava Lynx","epic","🔥"
"avatar-sticker-028","Quantum Quail","epic","⚛️"
"avatar-sticker-029","Phoenix Puffin","epic","🔥"
"avatar-sticker-030","Arcade Axolotl","epic","🦎"
"avatar-sticker-031","Turbo Tortoise","epic","🐢"
"avatar-sticker-032","Cosmic Cobra","epic","🐍"
"avatar-sticker-033","Crown Cyclone","legendary","👑"
"avatar-sticker-034","Aurora Griffin","legendary","🪽"
"avatar-sticker-035","Nova Kraken","legendary","🌌"
"avatar-sticker-036","Storm Leviathan","legendary","🌩️"
"avatar-sticker-037","Chroma Jelly Blitz","chroma","🌈"
"avatar-sticker-038","Spectrum Phoenix","chroma","🦜"
