"rarity","name","id","emoji"
"common","Teddy Trailblazer","avatar-sticker-001","🧸"
"common","Balloon Buddy","avatar-sticker-002","🎈"
"common","Juice Jet","avatar-sticker-003","🧃"
"common","Melon Mover","avatar-sticker-004","🍉"
"common","Berry Bright","avatar-sticker-005","🍓"
"common","Clover Scout","avatar-sticker-006","🍀"
"common","Daisy Dash","avatar-sticker-007","🌼"
"common","Moon Skip","avatar-sticker-008","🌙"
"common","Sun Sprint","avatar-sticker-009","☀️"
"common","Wave Walker","avatar-sticker-010","🌊"
"common","Soccer Spark","avatar-sticker-011","⚽"
"common","Skate Star","avatar-sticker-012","🛹"
"common","Kite Kid","avatar-sticker-013","🪁"
"common","YoYo Zoom","avatar-sticker-014","🪀"
"rare","Dice Dynamo","avatar-sticker-015","🎲"
"rare","Target Tracker","avatar-sticker-016","🎯"
"rare","Puzzle Pro","avatar-sticker-017","🧩"
"rare","Thread Trail","avatar-sticker-018","🧵"
"rare","Glove Glide","avatar-sticker-019","🧤"
"rare","Cap Captain","avatar-sticker-020","🧢"
"rare","Brain Bolt","avatar-sticker-021","🧠"
"rare","Micro Master","avatar-sticker-022","🔬"
"rare","Lab Legend","avatar-sticker-023","🧪"
"rare","Book Beacon","avatar-sticker-024","📚"
"epic","Crayon Comet","avatar-sticker-025","🖍️"
"epic","Scissor Surge","avatar-sticker-026","✂️"
"epic","Clip Cruiser","avatar-sticker-027","📎"
"epic","Angle Ace","avatar-sticker-028","📐"
"epic","Abacus Arrow","avatar-sticker-029","🧮"
"epic","Compass Crown","avatar-sticker-030","🧭"
"epic","Wand Whiz","avatar-sticker-031","🪄"
"epic","Game Glider","avatar-sticker-032","🎮"
"legendary","Arcade Aura","avatar-sticker-033","🕹️"
"legendary","Headphone Hero","avatar-sticker-034","🎧"
"legendary","Camera Champion","avatar-sticker-035","📷"
"legendary","Cinema Cyclone","avatar-sticker-036","🎬"
"chroma","Bike Blaze","avatar-sticker-037","🚲"
"chroma","Scooter Spectrum","avatar-sticker-038","🛴"
