question_id,option_order,option_text
math-what-is-12-0001,0,40
math-what-is-12-0001,1,30
math-what-is-12-0001,2,31
math-what-is-12-0001,3,33
math-what-is-13-0002,0,32
math-what-is-13-0002,1,33
math-what-is-13-0002,2,42
math-what-is-13-0002,3,35
math-what-is-14-0003,0,20
math-what-is-14-0003,1,21
math-what-is-14-0003,2,23
math-what-is-14-0003,3,30
math-what-is-15-0004,0,22
math-what-is-15-0004,1,32
math-what-is-15-0004,2,25
math-what-is-15-0004,3,23
math-what-is-16-0005,0,24
math-what-is-16-0005,1,34
math-what-is-16-0005,2,25
math-what-is-16-0005,3,27
math-what-is-17-0006,0,29
math-what-is-17-0006,1,27
math-what-is-17-0006,2,26
math-what-is-17-0006,3,36
math-what-is-18-0007,0,29
math-what-is-18-0007,1,28
math-what-is-18-0007,2,31
math-what-is-18-0007,3,38
math-what-is-19-0008,0,40
math-what-is-19-0008,1,31
math-what-is-19-0008,2,30
math-what-is-19-0008,3,33
math-what-is-20-0009,0,42
math-what-is-20-0009,1,32
math-what-is-20-0009,2,33
math-what-is-20-0009,3,35
math-what-is-21-0010,0,44
math-what-is-21-0010,1,35
math-what-is-21-0010,2,34
math-what-is-21-0010,3,37
math-what-is-22-0011,0,39
math-what-is-22-0011,1,36
math-what-is-22-0011,2,37
math-what-is-22-0011,3,46
math-what-is-23-0012,0,39
math-what-is-23-0012,1,41
math-what-is-23-0012,2,38
math-what-is-23-0012,3,48
math-what-is-24-0013,0,50
math-what-is-24-0013,1,40
math-what-is-24-0013,2,43
math-what-is-24-0013,3,41
math-what-is-25-0014,0,45
math-what-is-25-0014,1,52
math-what-is-25-0014,2,42
math-what-is-25-0014,3,43
math-what-is-26-0015,0,44
math-what-is-26-0015,1,47
math-what-is-26-0015,2,45
math-what-is-26-0015,3,54
math-what-is-27-0016,0,49
math-what-is-27-0016,1,56
math-what-is-27-0016,2,46
math-what-is-27-0016,3,47
math-what-is-28-0017,0,37
math-what-is-28-0017,1,34
math-what-is-28-0017,2,44
math-what-is-28-0017,3,35
math-what-is-29-0018,0,37
math-what-is-29-0018,1,39
math-what-is-29-0018,2,36
math-what-is-29-0018,3,46
math-what-is-30-0019,0,41
math-what-is-30-0019,1,48
math-what-is-30-0019,2,39
math-what-is-30-0019,3,38
math-what-is-31-0020,0,41
math-what-is-31-0020,1,43
math-what-is-31-0020,2,50
math-what-is-31-0020,3,40
math-what-is-32-0021,0,52
math-what-is-32-0021,1,43
math-what-is-32-0021,2,42
math-what-is-32-0021,3,45
math-what-is-33-0022,0,47
math-what-is-33-0022,1,54
math-what-is-33-0022,2,44
math-what-is-33-0022,3,45
math-what-is-34-0023,0,56
math-what-is-34-0023,1,46
math-what-is-34-0023,2,49
math-what-is-34-0023,3,47
math-what-is-35-0024,0,48
math-what-is-35-0024,1,58
math-what-is-35-0024,2,49
math-what-is-35-0024,3,51
math-what-is-36-0025,0,60
math-what-is-36-0025,1,51
math-what-is-36-0025,2,50
math-what-is-36-0025,3,53
math-what-is-37-0026,0,55
math-what-is-37-0026,1,53
math-what-is-37-0026,2,52
math-what-is-37-0026,3,62
math-what-is-38-0027,0,64
math-what-is-38-0027,1,57
math-what-is-38-0027,2,55
math-what-is-38-0027,3,54
math-what-is-39-0028,0,66
math-what-is-39-0028,1,59
math-what-is-39-0028,2,56
math-what-is-39-0028,3,57
math-what-is-40-0029,0,59
math-what-is-40-0029,1,61
math-what-is-40-0029,2,58
math-what-is-40-0029,3,68
math-what-is-41-0030,0,60
math-what-is-41-0030,1,70
math-what-is-41-0030,2,63
math-what-is-41-0030,3,61
math-what-is-42-0031,0,58
math-what-is-42-0031,1,48
math-what-is-42-0031,2,49
math-what-is-42-0031,3,51
math-what-is-43-0032,0,51
math-what-is-43-0032,1,53
math-what-is-43-0032,2,50
math-what-is-43-0032,3,60
math-what-is-44-0033,0,62
math-what-is-44-0033,1,52
math-what-is-44-0033,2,53
math-what-is-44-0033,3,55
math-what-is-45-0034,0,54
math-what-is-45-0034,1,64
math-what-is-45-0034,2,55
math-what-is-45-0034,3,57
math-what-is-46-0035,0,56
math-what-is-46-0035,1,66
math-what-is-46-0035,2,59
math-what-is-46-0035,3,57
math-what-is-47-0036,0,58
math-what-is-47-0036,1,68
math-what-is-47-0036,2,61
math-what-is-47-0036,3,59
math-what-is-48-0037,0,63
math-what-is-48-0037,1,61
math-what-is-48-0037,2,70
math-what-is-48-0037,3,60
math-what-is-49-0038,0,62
math-what-is-49-0038,1,65
math-what-is-49-0038,2,72
math-what-is-49-0038,3,63
math-what-is-50-0039,0,64
math-what-is-50-0039,1,74
math-what-is-50-0039,2,67
math-what-is-50-0039,3,65
math-what-is-51-0040,0,67
math-what-is-51-0040,1,66
math-what-is-51-0040,2,76
math-what-is-51-0040,3,69
math-what-is-52-0041,0,68
math-what-is-52-0041,1,71
math-what-is-52-0041,2,78
math-what-is-52-0041,3,69
