"id","name","rarity","emoji","sell_price"
"new-common-sticker-001","Common Nova 001","common","😀","2"
"new-common-sticker-002","Common Nova 002","common","😁","2"
"new-common-sticker-003","Common Nova 003","common","😂","2"
"new-common-sticker-004","Common Nova 004","common","😃","2"
"new-common-sticker-005","Common Nova 005","common","😄","2"
"new-common-sticker-006","Common Nova 006","common","😅","2"
"new-common-sticker-007","Common Nova 007","common","😆","2"
"new-common-sticker-008","Common Nova 008","common","😇","2"
"new-common-sticker-009","Common Nova 009","common","😈","2"
"new-common-sticker-010","Common Nova 010","common","😉","2"
"new-common-sticker-011","Common Nova 011","common","😊","2"
"new-common-sticker-012","Common Nova 012","common","😋","2"
"new-common-sticker-013","Common Nova 013","common","😌","2"
"new-common-sticker-014","Common Nova 014","common","😍","2"
"new-common-sticker-015","Common Nova 015","common","😎","2"
"new-common-sticker-016","Common Nova 016","common","😏","2"
"new-common-sticker-017","Common Nova 017","common","😐","2"
"new-common-sticker-018","Common Nova 018","common","😑","2"
"new-common-sticker-019","Common Nova 019","common","😒","2"
"new-common-sticker-020","Common Nova 020","common","😓","2"
"new-rare-sticker-001","Rare Nova 001","rare","😔","10"
"new-rare-sticker-002","Rare Nova 002","rare","😕","10"
"new-rare-sticker-003","Rare Nova 003","rare","😖","10"
"new-rare-sticker-004","Rare Nova 004","rare","😗","10"
"new-rare-sticker-005","Rare Nova 005","rare","😘","10"
"new-rare-sticker-006","Rare Nova 006","rare","😙","10"
"new-rare-sticker-007","Rare Nova 007","rare","😚","10"
"new-rare-sticker-008","Rare Nova 008","rare","😛","10"
"new-rare-sticker-009","Rare Nova 009","rare","😜","10"
"new-rare-sticker-010","Rare Nova 010","rare","😝","10"
"new-rare-sticker-011","Rare Nova 011","rare","😞","10"
"new-rare-sticker-012","Rare Nova 012","rare","😟","10"
"new-rare-sticker-013","Rare Nova 013","rare","😠","10"
"new-rare-sticker-014","Rare Nova 014","rare","😡","10"
"new-rare-sticker-015","Rare Nova 015","rare","😢","10"
"new-rare-sticker-016","Rare Nova 016","rare","😣","10"
"new-rare-sticker-017","Rare Nova 017","rare","😤","10"
"new-rare-sticker-018","Rare Nova 018","rare","😥","10"
"new-rare-sticker-019","Rare Nova 019","rare","😦","10"
"new-rare-sticker-020","Rare Nova 020","rare","😧","10"
"new-epic-sticker-001","Epic Nova 001","epic","😨","15"
"new-epic-sticker-002","Epic Nova 002","epic","😩","15"
"new-epic-sticker-003","Epic Nova 003","epic","😪","15"
"new-epic-sticker-004","Epic Nova 004","epic","😫","15"
"new-epic-sticker-005","Epic Nova 005","epic","😬","15"
"new-epic-sticker-006","Epic Nova 006","epic","😭","15"
"new-epic-sticker-007","Epic Nova 007","epic","😮","15"
"new-epic-sticker-008","Epic Nova 008","epic","😯","15"
"new-epic-sticker-009","Epic Nova 009","epic","😰","15"
"new-epic-sticker-010","Epic Nova 010","epic","😱","15"
"new-epic-sticker-011","Epic Nova 011","epic","😲","15"
"new-epic-sticker-012","Epic Nova 012","epic","😳","15"
"new-epic-sticker-013","Epic Nova 013","epic","😴","15"
"new-epic-sticker-014","Epic Nova 014","epic","😵","15"
"new-epic-sticker-015","Epic Nova 015","epic","😶","15"
"new-epic-sticker-016","Epic Nova 016","epic","😷","15"
"new-epic-sticker-017","Epic Nova 017","epic","😸","15"
"new-epic-sticker-018","Epic Nova 018","epic","😹","15"
"new-epic-sticker-019","Epic Nova 019","epic","😺","15"
"new-epic-sticker-020","Epic Nova 020","epic","😻","15"
"new-legendary-sticker-001","Legendary Nova 001","legendary","😼","20"
"new-legendary-sticker-002","Legendary Nova 002","legendary","😽","20"
"new-legendary-sticker-003","Legendary Nova 003","legendary","😾","20"
"new-legendary-sticker-004","Legendary Nova 004","legendary","😿","20"
"new-legendary-sticker-005","Legendary Nova 005","legendary","🙀","20"
"new-legendary-sticker-006","Legendary Nova 006","legendary","🙁","20"
"new-legendary-sticker-007","Legendary Nova 007","legendary","🙂","20"
"new-legendary-sticker-008","Legendary Nova 008","legendary","🙃","20"
"new-legendary-sticker-009","Legendary Nova 009","legendary","🙄","20"
"new-legendary-sticker-010","Legendary Nova 010","legendary","🙅","20"
"new-legendary-sticker-011","Legendary Nova 011","legendary","🙆","20"
"new-legendary-sticker-012","Legendary Nova 012","legendary","🙇","20"
"new-legendary-sticker-013","Legendary Nova 013","legendary","🙈","20"
"new-legendary-sticker-014","Legendary Nova 014","legendary","🙉","20"
"new-legendary-sticker-015","Legendary Nova 015","legendary","🙊","20"
"new-legendary-sticker-016","Legendary Nova 016","legendary","🙋","20"
"new-legendary-sticker-017","Legendary Nova 017","legendary","🙌","20"
"new-legendary-sticker-018","Legendary Nova 018","legendary","🙍","20"
"new-legendary-sticker-019","Legendary Nova 019","legendary","🙎","20"
"new-legendary-sticker-020","Legendary Nova 020","legendary","🙏","20"
"new-chroma-sticker-001","Chroma Nova 001","chroma","🚀","35"
"new-chroma-sticker-002","Chroma Nova 002","chroma","🚁","35"
"new-chroma-sticker-003","Chroma Nova 003","chroma","🚂","35"
"new-chroma-sticker-004","Chroma Nova 004","chroma","🚃","35"
"new-chroma-sticker-005","Chroma Nova 005","chroma","🚄","35"
"new-chroma-sticker-006","Chroma Nova 006","chroma","🚅","35"
"new-chroma-sticker-007","Chroma Nova 007","chroma","🚆","35"
"new-chroma-sticker-008","Chroma Nova 008","chroma","🚇","35"
"new-chroma-sticker-009","Chroma Nova 009","chroma","🚈","35"
"new-chroma-sticker-010","Chroma Nova 010","chroma","🚉","35"
"new-chroma-sticker-011","Chroma Nova 011","chroma","🚊","35"
"new-chroma-sticker-012","Chroma Nova 012","chroma","🚋","35"
"new-chroma-sticker-013","Chroma Nova 013","chroma","🚌","35"
"new-chroma-sticker-014","Chroma Nova 014","chroma","🚍","35"
"new-chroma-sticker-015","Chroma Nova 015","chroma","🚎","35"
"new-chroma-sticker-016","Chroma Nova 016","chroma","🚏","35"
"new-chroma-sticker-017","Chroma Nova 017","chroma","🚐","35"
"new-chroma-sticker-018","Chroma Nova 018","chroma","🚑","35"
"new-chroma-sticker-019","Chroma Nova 019","chroma","🚒","35"
"new-chroma-sticker-020","Chroma Nova 020","chroma","🚓","35"
